,total_rainfall,mean_temperature,minimum_temperature,minimum_temperature_mean,maximum_temperature,maximum_temperature_mean,mean_wind_speed,max_wind_speed,max_wind_speed_mean,dengue_cases,interest,inbound,outbound,year,month,cumulative_total_rainfall,cumulative_dengue_cases
2015-M11,72.6,27.96333333333333,23.7,25.540000000000003,33.6,33.6,6.536666666666666,37.8,28.3,1263,16,1203992,904417,2015,11,1023.0000000000002,9783
2015-M12,302.0,27.72258064516129,22.5,25.0258064516129,33.1,33.1,8.025806451612903,43.6,32.461290322580645,1520,22,1424978,1142361,2015,12,1325.0000000000002,11303
2016-M01,69.6,28.475862068965515,23.8,26.189655172413794,32.8,32.8,10.455172413793104,64.8,33.58275862068965,2443,38,1412123,626184,2016,1,69.6,2443
2016-M02,186.0,27.83448275862069,23.3,25.613793103448273,32.7,32.7,11.706896551724139,45.7,36.16206896551724,2467,40,1335097,686304,2016,2,255.6,4910
2016-M03,6.2,28.983870967741936,25.4,26.570967741935487,34.1,34.1,11.693548387096774,44.6,33.667741935483875,1456,28,1406607,829374,2016,3,261.8,6366
2016-M04,89.8,29.44,25.3,26.66,35.0,35.0,8.453333333333333,45.7,32.17,992,22,1393972,739805,2016,4,351.6,7358
2016-M05,193.8,29.287096774193547,23.9,26.516129032258064,34.6,34.6,7.538709677419354,53.6,34.038709677419355,1028,19,1357543,797697,2016,5,545.4000000000001,8386
2016-M06,163.2,28.509999999999998,22.5,26.09333333333333,33.4,33.4,7.036666666666666,50.8,31.656666666666663,802,20,1270531,879990,2016,6,708.6000000000001,9188
2016-M07,168.6,28.406451612903226,22.5,25.81935483870968,33.4,33.4,8.07741935483871,52.6,32.512903225806454,958,22,1622405,645430,2016,7,877.2000000000002,10146
2016-M08,139.2,28.896774193548385,22.1,26.164516129032258,33.8,33.8,8.387096774193548,65.2,33.980645161290326,1216,21,1481876,629682,2016,8,1016.4000000000001,11362
2016-M09,118.9,28.28666666666667,22.6,25.15,34.4,34.4,6.656666666666666,54.0,32.79333333333333,727,27,1144063,779910,2016,9,1135.3000000000002,12089
2016-M10,181.0,28.335483870967742,21.6,25.23225806451613,34.6,34.6,6.532258064516129,51.1,32.29032258064516,497,16,1237675,759911,2016,10,1316.3000000000002,12586
2016-M11,290.2,27.433333333333334,22.7,24.926666666666666,32.6,32.6,6.0633333333333335,45.7,29.503333333333334,317,11,1235433,914424,2016,11,1606.5000000000002,12903
2016-M12,292.6,27.406451612903226,23.0,24.73548387096774,33.6,33.6,7.164516129032258,47.2,30.761290322580646,276,7,1506134,1185494,2016,12,1899.1000000000004,13179
2017-M01,197.0,26.926666666666666,21.8,24.65666666666667,33.7,33.7,7.819999999999999,46.1,30.42,364,11,1480479,696318,2017,1,197.0,364
2017-M02,159.2,26.92142857142857,22.6,24.74642857142857,32.4,32.4,10.442857142857141,48.2,34.385714285714286,225,9,1361010,608797,2017,2,356.2,589
2017-M03,136.6,27.364516129032257,22.9,24.89032258064516,33.3,33.3,8.880645161290323,46.1,30.86774193548387,149,11,1480161,863448,2017,3,492.79999999999995,738
2017-M04,210.39999999999998,27.78666666666667,22.8,24.993333333333332,34.4,34.4,6.3566666666666665,37.4,28.683333333333334,157,10,1470750,789348,2017,4,703.1999999999999,895
2017-M05,191.4,28.470967741935485,23.6,25.94193548387097,32.8,32.8,8.3,44.3,32.541935483870965,256,13,1363897,814350,2017,5,894.5999999999999,1151
2017-M06,106.0,28.48,22.2,25.9,33.0,33.0,8.6,57.6,30.096666666666668,290,11,1387601,917203,2017,6,1000.5999999999999,1441
2017-M07,80.0,28.296774193548387,23.5,25.958064516129035,32.4,32.4,10.248387096774193,51.8,34.248387096774195,294,12,1632135,683886,2017,7,1080.6,1735
2017-M08,84.2,28.11935483870968,23.7,25.929032258064513,33.0,33.0,10.787096774193548,44.3,35.28387096774193,194,10,1559283,731503,2017,8,1164.8,1929
2017-M09,125.2,27.96333333333333,22.3,25.413333333333334,32.4,32.4,8.49,50.4,34.99666666666667,191,10,1320050,776151,2017,9,1290.0,2120
2017-M10,121.6,27.88064516129032,23.5,25.241935483870968,34.6,34.6,6.445161290322581,55.1,30.05806451612903,309,12,1402299,785667,2017,10,1411.6,2429
2017-M11,271.0,27.07,23.1,24.59,32.5,32.5,6.3933333333333335,48.6,31.17,156,11,1397330,983609,2017,11,1682.6,2585
2017-M12,371.2,26.990322580645163,23.2,24.641935483870967,33.5,33.5,8.216129032258063,45.7,30.125806451612902,191,11,1569616,1238572,2017,12,2053.7999999999997,2776
2018-M01,287.0,26.112903225806452,21.3,23.980645161290322,33.2,33.2,7.603225806451612,50.0,29.55483870967742,298,11,1563359,669652,2018,1,287.0,298
2018-M02,14.8,27.160714285714285,23.5,24.79642857142857,33.5,33.5,12.325000000000001,45.0,35.225,168,9,1491970,686178,2018,2,301.8,466
2018-M03,44.6,27.970967741935485,23.6,25.403225806451612,34.2,34.2,9.980645161290322,48.2,32.854838709677416,136,9,1584406,950291,2018,3,346.40000000000003,602
2018-M04,61.199999999999996,28.496666666666666,22.6,25.813333333333333,35.0,35.0,8.823333333333332,44.6,31.790000000000003,265,7,1544248,774528,2018,4,407.6,867
2018-M05,132.2,28.648387096774194,23.6,26.164516129032258,34.2,34.2,7.83225806451613,51.1,30.996774193548386,245,19,1470891,872265,2018,5,539.8,1112
2018-M06,182.6,28.413333333333334,22.9,25.586666666666666,33.4,33.4,8.123333333333333,47.2,32.223333333333336,267,12,1544679,955818,2018,6,722.4,1379
2018-M07,143.2,28.48709677419355,21.9,25.97741935483871,33.0,33.0,10.709677419354838,51.1,34.03225806451613,250,11,1732896,719883,2018,7,865.5999999999999,1629
2018-M08,121.60000000000001,28.519354838709678,21.9,26.13225806451613,33.2,33.2,11.238709677419354,45.0,34.86451612903225,245,10,1683122,780692,2018,8,987.1999999999999,1874
2018-M09,144.4,27.970000000000002,21.4,25.273333333333333,33.0,33.0,8.796666666666665,45.4,33.14666666666667,228,10,1415149,809744,2018,9,1131.6,2102
2018-M10,234.4,27.903225806451612,22.5,25.219354838709677,34.5,34.5,7.387096774193548,48.2,32.20645161290322,317,9,1467380,832460,2018,10,1366.0,2419
2018-M11,169.6,27.293333333333333,22.4,24.57,33.4,33.4,5.883333333333334,55.4,29.083333333333332,355,12,1406985,1043293,2018,11,1535.6,2774
2018-M12,172.6,27.58709677419355,23.6,25.27741935483871,33.8,33.8,6.790322580645161,45.7,29.606451612903225,511,14,1603217,1283525,2018,12,1708.1999999999998,3285
2019-M01,63.599999999999994,27.9741935483871,23.5,25.561290322580643,33.4,33.4,11.180645161290323,47.5,34.33548387096774,889,18,1624593,700668,2019,1,63.599999999999994,889
2019-M02,31.599999999999998,28.217857142857145,21.9,25.442857142857143,34.1,34.1,12.271428571428572,43.6,35.25,737,20,1499051,729915,2019,2,95.19999999999999,1626
2019-M03,72.2,28.703225806451613,22.3,25.58709677419355,34.8,34.8,10.380645161290323,41.8,32.09032258064516,497,14,1564664,953556,2019,3,167.39999999999998,2123
2019-M04,174.8,28.646666666666665,22.7,25.863333333333333,34.5,34.5,7.659999999999999,40.7,31.139999999999997,625,16,1596724,811810,2019,4,342.2,2748
2019-M05,69.0,29.261290322580646,22.8,26.509677419354837,34.7,34.7,7.606451612903226,52.6,32.806451612903224,1168,21,1487791,844277,2019,5,411.2,3916
2019-M06,173.8,28.42,23.3,26.07,33.0,33.0,8.93,57.6,32.67666666666666,1701,32,1551847,1048217,2019,6,585.0,5617
2019-M07,12.2,29.0258064516129,23.9,26.887096774193548,33.4,33.4,12.641935483870967,47.2,35.36774193548387,3004,44,1802593,738793,2019,7,597.2,8621
2019-M08,11.8,29.12258064516129,24.5,27.11935483870968,34.0,34.0,14.980645161290322,44.3,37.45483870967742,2120,37,1736102,814768,2019,8,609.0,10741
2019-M09,22.799999999999997,29.03666666666667,22.9,26.59,34.3,34.3,13.376666666666667,47.2,35.68,1620,27,1463543,848901,2019,9,631.8,12361
2019-M10,176.8,28.138709677419353,22.9,25.312903225806455,34.4,34.4,7.751612903225807,51.8,34.225806451612904,954,21,1530479,875060,2019,10,808.5999999999999,13315
2019-M11,137.4,28.013333333333332,22.9,25.426666666666666,34.4,34.4,7.1066666666666665,45.4,30.383333333333333,1334,27,1533668,1072972,2019,11,945.9999999999999,14649
2019-M12,421.5,26.74516129032258,22.7,24.612903225806452,32.3,32.3,9.680645161290323,42.8,31.91290322580645,1349,22,1724961,1271780,2019,12,1367.5,15998
2020-M01,439.0,27.391176470588235,21.7,24.938235294117646,32.8,32.8,11.43235294117647,44.4,35.391176470588235,1359,25,1688102,759018,2020,1,439.0,1359
2020-M02,65.0,27.858620689655172,23.7,25.33448275862069,33.1,33.1,12.86896551724138,46.4,36.11724137931035,1531,34,732966,420253,2020,2,504.0,2890
2020-M03,108.8,28.616129032258065,24.1,25.929032258064513,34.0,34.0,10.66451612903226,44.6,32.46774193548387,1883,28,240001,207985,2020,3,612.8,4773
2020-M04,188.0,28.85,23.8,26.03666666666667,34.6,34.6,8.43,42.6,29.433333333333334,1418,20,750,5237,2020,4,800.8,6191
2020-M05,255.6,28.91290322580645,23.6,26.080645161290324,34.5,34.5,7.403225806451613,46.3,30.880645161290325,2042,27,880,6265,2020,5,1056.3999999999999,8233
2020-M06,233.8,28.116666666666667,23.7,25.540000000000003,33.0,33.0,7.906666666666666,50.0,32.89333333333333,5584,67,2171,8528,2020,6,1290.1999999999998,13817
2020-M07,140.8,27.951612903225808,23.7,25.548387096774192,32.5,32.5,8.612903225806452,53.7,32.07096774193548,6636,78,6843,10304,2020,7,1430.9999999999998,20453
2020-M08,103.39999999999999,28.280645161290323,22.5,25.870967741935484,33.0,33.0,9.290322580645162,51.9,33.270967741935486,6825,62,8912,13078,2020,8,1534.3999999999999,27278
2020-M09,150.2,27.533333333333335,21.9,24.93,33.2,33.2,7.946666666666667,57.4,35.79333333333333,2925,32,9500,16452,2020,9,1684.6,30203
2020-M10,78.8,28.293548387096774,22.2,25.606451612903225,34.1,34.1,7.296774193548386,44.4,30.703225806451613,2291,24,13399,16512,2020,10,1763.3999999999999,32494
2020-M11,220.6,27.246666666666666,23.3,24.983333333333334,33.4,33.4,6.79,40.7,27.720000000000002,1740,17,14749,28202,2020,11,1983.9999999999998,34234
2020-M12,253.20000000000002,27.174193548387095,23.0,24.52258064516129,33.5,33.5,9.370967741935484,42.6,27.6,887,11,24170,51173,2020,12,2237.2,35121
2021-M01,417.40000000000003,26.126666666666665,22.9,24.023333333333333,31.6,31.6,10.153333333333334,48.2,31.726666666666667,647,9,23366,39195,2021,1,417.40000000000003,647
2021-M02,1.0,27.271428571428572,23.7,24.803571428571427,33.7,33.7,13.232142857142858,42.6,35.50714285714286,578,10,18141,43352,2021,2,418.40000000000003,1225
2021-M03,182.4,27.92258064516129,23.0,25.01290322580645,34.2,34.2,9.883870967741935,48.2,33.329032258064515,647,11,27202,56512,2021,3,600.8000000000001,1872
2021-M04,290.4,28.243333333333332,23.1,25.263333333333332,34.7,34.7,6.836666666666667,42.6,30.123333333333335,427,9,25737,50834,2021,4,891.2,2299
2021-M05,245.79999999999998,28.703225806451613,22.9,25.9741935483871,33.6,33.6,7.109677419354839,40.7,30.161290322580644,576,10,14190,48587,2021,5,1137.0,2875
2021-M06,93.4,28.533333333333335,23.4,25.596666666666668,33.7,33.7,7.003333333333333,46.3,33.016666666666666,511,10,10029,50251,2021,6,1230.4,3386
2021-M07,195.8,28.61935483870968,23.2,26.187096774193545,33.4,33.4,8.883870967741935,51.9,35.41935483870968,341,10,18517,52215,2021,7,1426.2,3727
2021-M08,293.6,27.58709677419355,21.9,24.787096774193547,32.9,32.9,7.761290322580645,57.4,35.774193548387096,306,9,15887,57612,2021,8,1719.8000000000002,4033
2021-M09,205.4,28.3,22.5,25.566666666666666,33.3,33.3,8.32,50.0,34.13666666666667,350,9,19009,75218,2021,9,1925.2000000000003,4383
2021-M10,177.0,28.4741935483871,23.2,25.799999999999997,33.8,33.8,7.4,44.4,31.958064516129035,340,9,24006,76646,2021,10,2102.2000000000003,4723
2021-M11,312.4,27.59,22.8,24.790000000000003,33.9,33.9,5.6866666666666665,44.4,29.683333333333334,268,8,41179,109791,2021,11,2414.6000000000004,4991
2021-M12,119.6,27.677419354838708,22.9,25.44516129032258,33.9,33.9,8.470967741935485,44.4,32.31612903225807,273,5,92796,172894,2021,12,2534.2000000000003,5264
2022-M01,24.6,27.603333333333335,23.5,25.033333333333335,33.1,33.1,10.356666666666666,42.6,32.77333333333333,757,9,57174,118153,2022,1,24.6,757
2022-M02,175.0,27.289285714285715,22.6,24.77857142857143,33.6,33.6,9.25,46.3,31.146428571428572,839,9,67765,112134,2022,2,199.6,1596
2022-M03,163.2,28.09032258064516,23.0,25.116129032258065,34.2,34.2,7.906451612903226,48.2,31.23548387096774,1741,16,121207,155153,2022,3,362.79999999999995,3337
2022-M04,239.6,28.1,23.1,25.07,34.0,34.0,6.136666666666667,57.4,30.303333333333335,3322,30,295095,231568,2022,4,602.4,6659
2022-M05,102.0,29.161290322580644,23.5,26.225806451612904,35.4,35.4,7.745161290322581,51.9,31.529032258064515,6458,48,418458,345768,2022,5,704.4,13117
2022-M06,211.8,27.923333333333336,22.9,25.27,33.6,33.6,6.223333333333333,44.4,30.603333333333335,5073,56,543733,476079,2022,6,916.2,18190
2022-M07,145.2,28.606451612903225,22.2,25.774193548387096,32.9,32.9,8.709677419354838,48.2,33.21290322580645,4210,48,726739,422172,2022,7,1061.4,22400
2022-M08,141.4,28.135483870967743,23.7,25.783870967741933,33.2,33.2,8.616129032258065,53.7,32.848387096774196,3697,34,728744,439189,2022,8,1202.8000000000002,26097
2022-M09,121.0,27.93,22.4,25.39333333333333,32.6,32.6,7.36,51.9,32.92666666666666,2012,26,782215,544151,2022,9,1323.8000000000002,28109
2022-M10,279.6,27.54516129032258,23.1,24.64516129032258,34.6,34.6,6.041935483870968,40.4,28.677419354838708,1778,23,816833,567367,2022,10,1603.4,29887
2022-M11,313.8,27.366666666666667,22.4,24.39,33.9,33.9,6.95,51.9,33.02666666666667,1116,17,816340,741814,2022,11,1917.2,31003
2022-M12,215.4,26.748387096774195,23.1,24.532258064516128,32.7,32.7,8.758064516129032,42.6,31.174193548387095,1172,16,931337,1000880,2022,12,2132.6,32175
