latlong,postal_code,postal_sector,postal_district,general_location
"1.4197757,103.847019",764431,76,27,"Yishun, Sembawang"
"1.3768395,103.8371598",560181,56,20,"Bishan, Ang Mo Kio"
"1.37053,103.753349",658564,65,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.315985,103.902166",426567,42,15,"Katong, Joo Chiat, Amber Road"
"1.336887,103.722632",610328,61,22,Jurong
"1.333275,103.722698",610183,61,22,Jurong
"1.354666,103.937225",521861,52,18,"Tampines, Pasir Ris"
"1.444723,103.808883",730689,73,25,"Kranji, Woodgrove"
"1.4315613,103.795109",730553,73,25,"Kranji, Woodgrove"
"1.352711,103.931852",520875,52,18,"Tampines, Pasir Ris"
"1.432824,103.84152",768894,76,27,"Yishun, Sembawang"
"1.2991863,103.7965878",140066,14,3,"Queenstown, Tiong Bahru"
"1.433957,103.784901",730361,73,25,"Kranji, Woodgrove"
"1.38018,103.739316",680405,68,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.3095208,103.9061058",429283,42,15,"Katong, Joo Chiat, Amber Road"
"1.412087,103.8338765",760817,76,27,"Yishun, Sembawang"
"1.397365,103.748237",680637,68,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.3868281,103.758362",671636,67,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.353102,103.702751",643275,64,22,Jurong
"1.364812,103.88375",545967,54,19,"Serangoon Garden, Hougang, Punggol"
"1.306398,103.916262",440051,44,15,"Katong, Joo Chiat, Amber Road"
"1.3539421,103.7224495",640404,64,22,Jurong
"1.31855,103.779906",278698,27,10,"Ardmore, Bukit Timah, Holland Road, Tanglin"
"1.325903,103.9083536",419567,41,14,"Geylang, Eunos"
"1.361088,103.844539",570243,57,20,"Bishan, Ang Mo Kio"
"1.344514,103.8725875",539060,53,19,"Serangoon Garden, Hougang, Punggol"
"1.321341,103.852598",329928,32,12,"Balestier, Toa Payoh, Serangoon"
"1.4497395,103.815939",750359,75,27,"Yishun, Sembawang"
"1.394214,103.750451",680769,68,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.2969826,103.7980797",141035,14,3,"Queenstown, Tiong Bahru"
