,total_rainfall,mean_temperature,minimum_temperature,minimum_temperature_mean,maximum_temperature,maximum_temperature_mean,mean_wind_speed,max_wind_speed,max_wind_speed_mean,dengue_cases,interest,inbound,outbound,year,week,cumulative_total_rainfall,cumulative_dengue_cases
2015-W11,46.0,27.62857142857143,23.7,25.114285714285717,33.7,33.7,10.928571428571429,45.0,36.142857142857146,91,9,240330,151762,2015,11,158.39999999999998,2029
2015-W12,6.4,28.3,23.6,25.75714285714286,33.4,33.4,10.342857142857142,37.1,31.17142857142857,130,10,240330,151762,2015,12,164.79999999999998,2159
2015-W13,9.2,28.542857142857144,24.8,26.25714285714286,33.1,33.1,12.542857142857143,39.6,35.642857142857146,91,7,240330,151762,2015,13,173.99999999999997,2250
2015-W14,43.800000000000004,27.82857142857143,24.5,25.357142857142858,33.4,33.4,7.214285714285714,34.6,29.52857142857143,107,10,302156,173991,2015,14,217.79999999999998,2357
2015-W15,2.0,28.900000000000002,25.9,26.442857142857143,33.8,33.8,9.614285714285714,37.1,30.842857142857138,137,8,302156,173991,2015,15,219.79999999999998,2494
2015-W16,8.799999999999999,29.242857142857144,24.0,26.214285714285715,34.4,34.4,9.942857142857141,35.3,33.214285714285715,113,11,302156,173991,2015,16,228.6,2607
2015-W17,23.6,28.62857142857143,24.4,25.785714285714285,34.1,34.1,7.542857142857143,35.3,31.02857142857143,120,8,302156,173991,2015,17,252.2,2727
2015-W18,42.4,27.814285714285713,24.0,25.12857142857143,33.3,33.3,5.442857142857143,37.1,29.685714285714287,135,9,305709,197500,2015,18,294.59999999999997,2862
2015-W19,11.2,28.657142857142855,24.4,26.314285714285713,33.2,33.2,8.4,38.2,32.41428571428571,158,13,305709,197500,2015,19,305.79999999999995,3020
2015-W20,29.400000000000002,28.87142857142857,24.9,26.52857142857143,34.2,34.2,8.885714285714286,37.1,31.614285714285717,109,13,305709,197500,2015,20,335.19999999999993,3129
2015-W21,7.800000000000001,28.74285714285714,25.3,26.685714285714287,33.0,33.0,8.714285714285714,41.0,35.17142857142857,180,10,305709,197500,2015,21,342.99999999999994,3309
2015-W22,2.0,29.214285714285715,25.4,26.900000000000002,34.2,34.2,10.585714285714285,51.5,41.4,152,11,236949,173727,2015,22,344.99999999999994,3461
2015-W23,45.2,28.957142857142856,24.9,25.928571428571427,34.3,34.3,8.22857142857143,40.3,32.285714285714285,193,10,236949,173727,2015,23,390.19999999999993,3654
2015-W24,33.6,28.0,24.2,25.642857142857142,32.5,32.5,6.8428571428571425,35.3,31.071428571428573,207,13,236949,173727,2015,24,423.79999999999995,3861
2015-W25,4.2,28.928571428571427,24.8,26.814285714285713,32.5,32.5,10.0,36.7,31.728571428571428,240,15,236949,173727,2015,25,427.99999999999994,4101
2015-W26,12.8,29.885714285714283,25.2,27.771428571428572,33.2,33.2,14.085714285714285,44.3,35.31428571428571,242,13,236949,173727,2015,26,440.79999999999995,4343
2015-W27,29.0,29.042857142857144,22.1,26.042857142857144,32.8,32.8,10.228571428571428,59.4,36.714285714285715,272,11,379808,157657,2015,27,469.79999999999995,4615
2015-W28,34.0,29.114285714285717,23.6,26.400000000000002,32.4,32.4,10.928571428571429,36.0,31.214285714285715,263,13,379808,157657,2015,28,503.79999999999995,4878
